,id,Học phần điều kiện,Tên tiếng anh,Tên viết tắt,Viện Quản lý
3457,3457,"TE3811,TE3801,(TE3851/TE3861)",Engineering Practicum,Thực tập kỹ thuật,VCKDL
3458,3458,TE3010,Measuring Technique in Internal Combustion Engine,Thí nghiệm động cơ đốt trong,VCKDL
3459,3459,TE3010,Internal Combustion Engine Usage and Repair,"Kỹ thuật bảo dưỡng, sửa chữa ĐCĐT",VCKDL
3460,3460,TE3610,Ship propulsion system,Trang bị năng lượng tàu thủy,VCKDL
3461,3461,TE3200/TE3201,Automobile Electronics,Hệ thống điện và điện tử ô tô,VCKDL
3462,3462,TE3200/TE3201,Automobile Design and Calculation,Thiết kế tính toán ô tô,VCKDL
3463,3463,TE3200/TE3201,Chassis-Frame Technology,Công nghệ khung vỏ ô tô,VCKDL
3464,3464,TE3601/TE2601,Hydrodynamic Coupling,Truyền động thủy động,VCKDL
3465,3465,"TE3601/TE2601,TE3400",Theory of Automatic Hydraulic Controls,Lý thuyết điều chỉnh tự động bằng các CCTK,VCKDL
3466,3466,TE3460,Hydraulic Control Systems,Truyền động thủy lực thể tích,VCKDL
3467,3467,TE3460,Theory of Wing II,Lý thuyết cánh II,VCKDL
3468,3468,"TE3650,TE3660,TE4050=",Shipbuilding technology,Công nghệ đóng tàu và phương tiện nổi,VCKDL
3469,3469,"TE3650,TE3660",Ship Design Project,Đồ án chuyên ngành thiết kế tàu thủy,VCKDL
3470,3470,TE2601!/TE3601!,Aircraft Propulsion I,Động cơ hàng không I,VCKDL
3471,3471,"TE3601,TE3811",Introduction to Numerical Methods in Aerospace Engineering,Nhập môn phương pháp số trong KTHK,VCKDL
3472,3472,"(TE3861/TE3821),TE4801,(TE2000!/TE2801!),TE3811!",Aircraft Inspection and Maintenance,Kiểm tra và bảo dưỡng máy bay,VCKDL
3473,3473,"TE3821,TE3851",Ground Equipments,Trang thiết bị mặt đất,VCKDL
3474,3474,"TE3601,TE3811",Flight Mechanics,Cơ học vật bay,VCKDL
3475,3475,TE4000,Bachelor Final Project,Đồ án tốt nghiệp cử nhân,VCKDL
3476,3476,TE4004=,Bachelor Final Project,Đồ án tốt nghiệp cử nhân,VCKDL
3477,3477,TE4005,Bachelor Final Project,Đồ án tốt nghiệp cử nhân,VCKDL
3478,3478,,Quality Management in Textile and Garment Industry,Quản lý chất lượng dệt may,KCNDMVTT
3479,3479,TEX2000,Labour Safety and Environment in Textile Industry,An toàn lao động và môi trường dệt may,KCNDMVTT
3480,3480,,Structure of Fabrics,Cấu trúc vải,KCNDMVTT
3481,3481,(TEX4511=)/(TEX4561=)/(TEX4493=)/(TEX4434=),Design Project,Đồ án thiết kế,KCNDMVTT
3482,3482,"TEX4023=,TEX4263=,TEX4283=",Practice of Textile Finishing,"Thực hành công nghệ tiền xử lý, nhuộm–in hoa–hoàn tất sản phẩm dệt may",KCNDMVTT
3483,3483,,Pretreatment Equipment and Technology,Công nghệ và thiết bị tiền xử lý sản phẩm dệt,KCNDMVTT
3484,3484,,Equipment and Technology of Dyeing and Printing,Công nghệ và thiết bị nhuộm – in hoa,KCNDMVTT
3485,3485,,Prototype Design,Thiết kế mẫu sản xuất,KCNDMVTT
3486,3486,,Finishing Equipment and Technology,Công nghệ và thiết bị hoàn tất sản phẩm dệt may,KCNDMVTT
3487,3487,TEX4021,Spinning Technology 2,Công nghệ kéo sợi xơ dài,KCNDMVTT
3488,3488,,Food Biochemistry,Hóa sinh thực phẩm,VCNSHVTP
3489,3489,"TEX4342,TEX4282",Applied Informatics in Industrial Production,Tin học ứng dụng trong sản xuất công nghiệp may,KCNDMVTT
3490,3490,,Preparation of Materials for Weaving,Chuẩn bị dệt,KCNDMVTT
3491,3491,TEX3090,Fundamentals of Fashion Design,Cơ sở tạo mẫu trang phục,KCNDMVTT
3492,3492,"TEX4332,TEX4342",Design of Sewing Line,Thiết kế dây chuyền may,KCNDMVTT
3493,3493,,Knitting Technology I,Công nghệ dệt kim I,KCNDMVTT
3494,3494,,Industrial Garment Equipments,Thiết bị may công nghiệp,KCNDMVTT
3495,3495,,Weaving Technology,Kỹ thuật dệt thoi,KCNDMVTT
3496,3496,TEX4352=,Garment Products Fabrication,Công nghệ gia công sản phẩm may,KCNDMVTT
3497,3497,TEX4331,Knitting Technology II,Công nghệ dệt kim II,KCNDMVTT
3498,3498,,Basic Sewing Practice,Thực hành may cơ bản,KCNDMVTT
3499,3499,"TEX4342,TEX4352",Technology of Clothing Manufacturing,Công nghệ sản xuất sản phẩm may,KCNDMVTT
3500,3500,,Nonwoven Technology,Công nghệ vải không dệt,KCNDMVTT
3501,3501,TEX4352,Advanced Sewing Practice,Thực hành may nâng cao,KCNDMVTT
3502,3502,,Clothing Construction,Thiết kế trang phục,KCNDMVTT
3503,3503,,Engineering Practicum,Thực tập kỹ thuật,KCNDMVTT
3504,3504,,Engineering Practicum,Thực tập kỹ thuật,KCNDMVTT
3505,3505,TEX4911,Bachelor Final Project,Đồ án tốt nghiệp cử nhân,KCNDMVTT
3506,3506,,Bachelor Final Project,Đồ án tốt nghiệp cử nhân,KCNDMVTT
3507,3507,CH3225,Chemical Process Engineering,Quá trình và thiết bị CNHH,KCNHH
3508,3508,,Basic footwear design,Thiết kế giầy cơ bản,KCNDMVTT
3509,3509,,Leather tanning and finishing,Công nghệ thuộc và hoàn tất da,KCNDMVTT
3510,3510,,Food Biochemistry Lab,Thí nghiệm hóa sinh thực phẩm,VCNSHVTP
3511,3511,,Food Microbiology,Vi sinh vật thực phẩm,VCNSHVTP
3512,3512,,Food Microbiology Lab,Thí nghiệm vi sinh vật thực phẩm,VCNSHVTP
3513,3513,CH3402,Heat and Mass Transfer Process Engineering,Quá trình và thiết bị truyền nhiệt-chuyển khối,KCNHH
3514,3514,CH3912=,Industrial Internship,Thực tập công nghiệp,KCNHH
3515,3515,,Bachelor Final Project,Đồ án tốt nghiệp cử nhân,KCNHH
3516,3516,,Analog and Digital Electronics,Điện tử tương tự và số,KD
3517,3517,EE2111=,Measurement Systems and Devices,Hệ thống và thiết bị đo,KD
3518,3518,,Control Systems and Equipment,Hệ thống và thiết bị điều khiển,KD
3519,3519,,Electro-Mechanical Control Systems,Hệ thống biến đổi điện cơ,KD
3520,3520,EE2020,Power Supply Systems,Hệ thống cung cấp điện,KD
3521,3521,,Process Control Systems,Hệ thống điều khiển quá trình,KD
3522,3522,,Industrial Internship,Thực tập công nghiệp,KD
3523,3523,,Bachelor Final Project,Đồ án tốt nghiệp cử nhân,KD
3524,3524,,Programming Techniques,Kỹ thuật lập trình,KCNTT
3525,3525,,Computer Networks,Mạng máy tính,KCNTT
3526,3526,,Database,Cơ sở dữ liệu,KCNTT
3527,3527,,Object-Oriented Programming,Lập trình hướng đối tượng,KCNTT
3528,3528,,Project I: Programming,Đồ án I: Lập trình,KCNTT
3529,3529,,Fundamentals of Machine Design,Cơ sở thiết kế máy,KCK
3530,3530,,Mechanical Technology,Công nghệ chế tạo máy,KCK
3531,3531,,Mechatronic Systems Design,Thiết kế hệ thống cơ điện tử,KCK
3532,3532,,Project in Mechatronic System Design,Đồ án thiết kế hệ thống CĐT,KCK
3533,3533,,CAD/CAM and CNC,CAD/CAM/CNC,KCK
3534,3534,,"Fuels, Lubricants and Exhaust Emissions","Nhiên liệu, dầu mỡ và khí thải",VCKDL
3535,3535,,Project in Automotive Engineering Technology,Đồ án công nghệ kỹ thuật ô tô,VCKDL
3536,3536,,Measuring Technique in Automotive Engine,Thí nghiệm động cơ đốt trong,VCKDL
3537,3537,,Automotive Engine Usage and Repair,"Sử dụng, sửa chữa ĐCĐT",VCKDL
3538,3538,,Automobile Electronics,"Điện, điện tử ô tô",VCKDL
3539,3539,,Automobile Maintenance and Repair,Bảo dưỡng sửa chữa ô tô,VCKDL
3540,3540,BF2010=,Food Biochemistry Lab,Thí nghiệm hóa sinh thực phẩm,VCNSHVTP
3541,3541,BF2010=,Food Microbiology,Vi sinh vật thực phẩm,VCNSHVTP
3542,3542,BF2012=,Food Microbiology Lab,Thí nghiệm vi sinh vật thực phẩm,VCNSHVTP
3543,3543,,Industrial Internship,Thực tập công nghiệp,VCKDL
3544,3544,TE3200,Chassis-Frame Technology,Công nghệ khung vỏ ô tô,VCKDL
3545,3545,TE4001,Bachelor Final Project,Đồ án tốt nghiệp cử nhân,VCKDL
3546,3546,"EE2020,EE2111,EE2200,EE2080",Project I,Đồ án I,KD
3547,3547,EE3141,Project II,Đồ án II,KD
3548,3548,,Pneumatic Drives and Automation,Truyền động và tự động khí nén,VCKDL
3549,3549,,Project of Fashion design of shoe and leather goods,Đồ án tạo mẫu sản phẩm da giầy,KCNDMVTT
3550,3550,,Clean Fuels,Nhiên liệu sạch,KCNHH
3551,3551,,Graduation Practicum,Thực tập tốt nghiệp,KCNHH
3552,3552,,Graduation Project,Đồ án tốt nghiệp,KCNHH
3553,3553,,Semantics,Ngữ nghĩa học,KNN
3554,3554,FL4115,Advanced Technical Translation,Biên dịch KHCN nâng cao (BTL),KNN
3555,3555,FL4116,Advanced Technical Interpretation,Phiên dịch KHCN nâng cao,KNN
3556,3556,,English in the World,Tiếng Anh trên thế giới,KNN
3557,3557,"FL3158,FL3157",Technical Translation and Interpretation,Biên - Phiên dịch KHCN,KNN
3558,3558,"FL3210,FL3220",English Language Analysis,Phân tích ngôn ngữ,KNN
3559,3559,,Project-based English for Specific Purposes,Tiếng Anh chuyên ngành theo dự án (BTL),KNN
3560,3560,,English Language Project,Nghiên cứu ngôn ngữ theo dự án (BTL),KNN
3561,3561,,Graduation Practicum,Thực tập tốt nghiệp,KNN
3562,3562,,Graduation Project,Khóa luận tốt nghiệp,KNN
3563,3563,,Introduction to Mechanical Engineering,Nhập môn kỹ thuật cơ khí,KCK
3564,3564,(IT3090E/IT3292E)/(IT3010E/IT3312E)/(IT3190E/IT3191E/IT4242E),Introduction to Data Science,Introduction to Data Science,KCNTT
3565,3565,"IT3312E,MI1022,MI1032,MI2022",Machine Learning and Data Mining,Machine Learning and Data Mining,KCNTT
3566,3566,"IT3312E,MI1022,MI1032,MI2022,IT4242E",Computer Vision,Computer Vision,KCNTT
3567,3567,,Engineering Mechanics 1,Cơ học kỹ thuật 1,KCK
3568,3568,,Introduction of Chemistry,Nhập môn hóa học,KCNHH
3569,3569,,Nanoscale materials,Vật liệu nano,KKHVCNVL
3570,3570,,Introduction to Food Technology,Nhập môn Công nghệ thực phẩm,VCNSHVTP
3571,3571,,Introduction to Biotechnology,Nhập môn kỹ thuật sinh học,VCNSHVTP
3572,3572,,Biochemistry,Hóa sinh,VCNSHVTP
3573,3573,,Laboratory Experiments in Biochemistry,Thí nghiệm hóa sinh,VCNSHVTP
3574,3574,,Laboratory Experiments in Food Microbiology,Thí nghiệm vi sinh vật thực phẩm,VCNSHVTP
3575,3575,,Biochemistry,Hoá sinh,VCNSHVTP
3576,3576,"CH3318,CH3082,BF3507=",Laboratory Experiments in Biochemistry,Thí nghiệm hóa sinh,VCNSHVTP
3577,3577,,Food Microbiology,Vi sinh vật thực phẩm,VCNSHVTP
3578,3578,,General Food Technology,Công nghệ thực phẩm đại cương,VCNSHVTP
3579,3579,,Nutrition,Dinh dưỡng,VCNSHVTP
3580,3580,,Food Safety,An toàn thực phẩm,VCNSHVTP
3581,3581,,Food Physics,Vật lý học Thực phẩm,VCNSHVTP
3582,3582,,Analytical methods in Food quality assesment,Phương pháp đánh giá chất lượng thực phẩm,VCNSHVTP
3583,3583,,Food Quality Management,Quản lý chất lượng trong công nghiệp thực phẩm,VCNSHVTP
3584,3584,,Process and Equipment in Food Technology I,Quá trình và thiết bị CNTP I,VCNSHVTP
3585,3585,,Process and Equipment in Food Technology II,Quá trình và thiết bị CNTP II,VCNSHVTP
3586,3586,,Process and Equipment in Food Technology III,Quá trình và thiết bị CNTP III,VCNSHVTP
3587,3587,,Techniques for measuring and Control of technological processes,Kỹ thuật đo lường và lý thuyết điều khiển tự động trong CNTP,VCNSHVTP
3588,3588,,Project I- Process and Equipment in Food Technology,Đồ án I – Quá trình và thiết bị CNTP,VCNSHVTP
3589,3589,,Microbiology I,Vi sinh vật I,VCNSHVTP
3590,3590,,Expriments in microbiology,Thí nghiệm vi sinh vật,VCNSHVTP
3591,3591,,Cell biology,Sinh học tế bào,VCNSHVTP
3592,3592,,Genetic engineering,Kỹ thuật gen,VCNSHVTP
3593,3593,,Bioinformatics,Tin sinh học,VCNSHVTP
3594,3594,,Analytical method in biotechnology,Phương pháp phân tích trong CNSH,VCNSHVTP
3595,3595,,Process and equipment in biotechnology I,Quá trình và thiết bị CNSH I,VCNSHVTP
3596,3596,,Process and equipment in biotechnology II,Quá trình và thiết bị CNSH II,VCNSHVTP
3597,3597,,Process and equipment for biotechnology III,Quá trình và thiết bị CNSH III,VCNSHVTP
3598,3598,,Project of processing and equipment in biotechnology,Đồ án quá trình và thiết bị CNSH,VCNSHVTP
3599,3599,,Techniques for mesuaring and Control of technological processes,Kỹ thuật đo lường và điều khiển tự động trong CNSH,VCNSHVTP
3600,3600,,Quality product management in biotechnology,Quản lý chất lượng trong CNSH,VCNSHVTP
3601,3601,,Project work in biotechnology,Đồ án chuyên ngành KTSH,VCNSHVTP
3602,3602,,Chemistry in Print Technology,Hóa học trong CN in,KCNHH
3603,3603,,Physical Chemistry I,Hóa lý I,KCNHH
3604,3604,,Physical Chemistry II,Hóa lý II,KCNHH
3605,3605,CH3071=,Physical Chemistry Lab,Thí nghiệm Hóa lý,KCNHH
3606,3606,CH1012,Organic Chemistry I,Hóa Hữu cơ I,KCNHH
3607,3607,CH3202,Organic Chemistry II,Hóa Hữu cơ II,KCNHH
3608,3608,,Fundamental Chemistry of Fragrances,Cơ sở hóa học hương liệu,KCNHH
3609,3609,,Applied Mechanics in Chemical Engineering,Cơ khí ứng dụng trong kỹ thuật hóa học,KCNHH
3610,3610,,Theory of Color Reproduction,Lý thuyết phục chế màu,KCNHH
3611,3611,,Color Lab,Thí nghiệm màu,KCNHH
3612,3612,,Materials in Printing Process,Vật liệu ngành in,KCNHH
3613,3613,,Printing Materials Lab,Thí nghiệm Vật liệu,KCNHH
3614,3614,(CH3612=)/(CH3610=),Digital Imaging,Kỹ thuật chế bản điện tử,KCNHH
3615,3615,,Digital Imaging Lab.,TN chế bản điện tử,KCNHH
3616,3616,,Publication Design,Thiết kế xuất bản phẩm,KCNHH
3617,3617,,Package Design,Thiết kế bao bì,KCNHH
3618,3618,"(CH3061,CH3203,CH3120,CH3331)",Research Project,Đồ án nghiên cứu,KCNHH
3619,3619,"(CH3631/CH3630),(CH3009=)/(CH3227=)",Plate Making,Kỹ thuật chế khuôn in,KCNHH
3620,3620,,Plate Making Lab,Thí nghiệm chế khuôn,KCNHH
3621,3621,,Digital Printing Lab,Thí nghiệm in số,KCNHH
3622,3622,,Printing Measurements & Control instruments,Thiết bị và dụng cụ đo,KCNHH
3623,3623,,Offset Printing Lab,Thí nghiệm in offset,KCNHH
3624,3624,(CH2004/CH3600),Flexo and Gravure Printing Process,Kỹ thuật in flexo và in lõm,KCNHH
3625,3625,EE3010/EE2020/EE2021,Electrical circuits II,Lý thuyết mạch điện II,KD
3626,3626,,Electrical engineering and process control,Kỹ thuật Điện và Điều khiển quá trình,KD
3627,3627,EE2000,Linear control theory,Lý thuyết điều khiển tuyến tính,KD
3628,3628,,Electric supply systems,Hệ thống cung cấp điện (BTL),KD
3629,3629,,Electric materials,Vật liệu điện,KD
3630,3630,,Techniques of programming,Kỹ thuật lập trình,KD
3631,3631,,Business Process Management,Quản trị quy trình kinh doanh,KKTVQL
3632,3632,EM3230/MI2020,Business Simulation,Mô phỏng hoạt động kinh doanh,KKTVQL
3633,3633,,English for Accounting,Anh văn chuyên ngành Kế toán,KKTVQL
3634,3634,EM3511/EM3510,English for Finance and Banking,Anh văn chuyên ngành TCNH,KKTVQL
3635,3635,,Data Analysis and Business Intelligence,Phân tích dữ liệu và Tri thức kinh doanh,KKTVQL
3636,3636,,Economics of Investment,Kinh tế đầu tư,KKTVQL
3637,3637,MI2020,Optimizing Models,Mô hình tối ưu,KKTVQL
3638,3638,,Innovation Management,Quản trị đổi mới,KKTVQL
3639,3639,,Hydraulics in Environmental Engineering,Thủy lực trong công nghệ môi trường,VKHVCNMT
3640,3640,,Heat Transfer in Environmental Engineering,Truyền nhiệt trong công nghệ môi trường,VKHVCNMT
3641,3641,,Fundamental of Environmental Engineering,Kỹ thuật môi trường đại cương,VKHVCNMT
3642,3642,,Mass Transfer in Environmental Engineering,Chuyển khối trong công nghệ môi trường,VKHVCNMT
3643,3643,,Chemical Reaction Engineering,Kỹ thuật phản ứng,VKHVCNMT
3644,3644,,Environmental Biochemistry,Hóa sinh môi trường,VKHVCNMT
3645,3645,,Environmental Chemistry,Hóa học môi trường,VKHVCNMT
3646,3646,,Environmental Microbiology,Vi sinh môi trường,VKHVCNMT
3647,3647,,Project I,Đồ án I,VKHVCNMT
3648,3648,,Air Pollution Control Engineering,Kỹ thuật kiểm soát ô nhiễm không khí,VKHVCNMT
3649,3649,,Environmental Quality Analysis,Phân tích chất lượng môi trường,VKHVCNMT
3650,3650,,Hazadous Waste Management,Quản lý chất thải nguy hại,VKHVCNMT
3651,3651,"(IT1110!/IT1140!),(IT3010/IT3011)",Project I,Project I,KCNTT
3652,3652,IT3010/IT3011,Introduction to Artificial Intelligence,Nhập môn Trí tuệ nhân tạo,KCNTT
3653,3653,,Listening,Listening,KNN
3654,3654,"CH3223,(CH3316,CH3318)/CH3306=",Biochemistry,Hoá sinh,VCNSHVTP
3655,3655,,Database Lab,Database Lab,KCNTT
3656,3656,,Compiler Construction Lab,Compiler Construction Lab,KCNTT
3657,3657,,Assembly Language and Computer Architecture Lab,Assembly Language and Computer Architecture Lab,KCNTT
3658,3658,,Web Programming,Web Programming,KCNTT
3659,3659,,Network Programming,Network Programming,KCNTT
3660,3660,,ITSS Linux System and Network Management,ITSS Linux System and Network Management,KCNTT
3661,3661,"IT4082E,IT3292E,IT3102E",ITSS Software Development,ITSS Software Development,KCNTT
3662,3662,,ITSS Embedded Linux,ITSS Embedded Linux,KCNTT
3663,3663,,ITSS Project Management for Embedded System,ITSS Project Management for Embedded System,KCNTT
3664,3664,IT3010/IT3011,Applied Algorithms,Thuật toán ứng dụng,KCNTT
3665,3665,IT3010/IT3011,Introduction to Software Engineering,Nhập môn công nghệ phần mềm,KCNTT
3666,3666,,Introduction to Machine Learning and Data Mining,Nhập môn Học máy và khai phá dữ liệu,KCNTT
3667,3667,,Electronics for Information Technology,Điện tử cho CNTT,KCNTT
3668,3668,,Project II,Project II,KCNTT
3669,3669,,Project II,Project II,KCNTT
3670,3670,,Project III,Project III,KCNTT
3671,3671,,Project III,Project III,KCNTT
3672,3672,,Strength of Materials,Sức bền vật liệu,KCK
3673,3673,,Technical Graphics II,Đồ họa kỹ thuật II,KCK
3674,3674,,Strength of Materials 2,Sức bền vật liệu II,KCK
3675,3675,,Theory of Machine and Mechanism,Nguyên lý máy,KCK
3676,3676,,Engineering Mechanics II,Cơ học kỹ thuật II,KCK
3677,3677,,Manufacturing Technology,Công nghệ chế tạo máy,KCK
3678,3678,,Machine Elements,Chi tiết máy,KCK
3679,3679,,Principle of Metal Cutting,Nguyên lý gia công vật liệu,KCK
3680,3680,,Tolerance and Measurement,Dung sai lắp ghép và Kỹ thuật đo,KCK
3681,3681,,Workpiece Fabrication,Chế tạo phôi,KCK
3682,3682,,Engineering Mechanics II,Cơ học kỹ thuật II,KCK
3683,3683,,Machine Tool Fundamental,Cơ sở Máy công cụ,KCK
3684,3684,,Automatic Control Engineering,Kỹ thuật điều khiển tự động,KCK
3685,3685,,Preasure Manufacturing Technology,Công nghệ gia công áp lực,KCK
3686,3686,,Manufacturing Technology,Công nghệ chế tạo máy,KCK
3687,3687,,Robotics,Robotics,KCK
3688,3688,,Machine Elements,Chi tiết máy,KCK
3689,3689,ME3090/ME3101,Project of Machine Elements,Đồ án chi tiết máy,KCK
3690,3690,,Jig and Fixture,Đồ gá,KCK
3691,3691,,Universal algebra,Đại số đại cương,KTTD
3692,3692,,Numerical analysis,Giải tích số,KTTD
3693,3693,,Numerical methods,Phương pháp số,KTTD
3694,3694,,Computer Architecture,Kiến trúc máy tính,KTTD
3695,3695,,Introduction to materials science and engineering,Nhập môn KH&KT vật liệu,KKHVCNVL
3696,3696,,Operations Management,Quản trị sản xuất,VDTLT
3697,3697,,Financial Management,Quản trị tài chính,VDTLT
3698,3698,,Electrical Power System Planning,Quy hoạch hệ thống điện,VDTLT
3699,3699,,Computer-based Analysis of Power Systems,Sử dụng máy tính trong phân tích HTĐ,VDTLT
3700,3700,,Power System Lab II,Thí nghiệm HTĐ II,VDTLT
3701,3701,,Power System Lab I,Thí nghiệm HTĐ I,VDTLT
3702,3702,,Applied Statistics,Thống kê ứng dụng,VDTLT
3703,3703,,Graduation Internship,Thực tập tốt nghiệp,VDTLT
3704,3704,,Graduation Practicum,Thực tập tốt nghiệp,VDTLT
3705,3705,,Optimization of Power System Operation,Tối ưu hóa chế độ HTĐ,VDTLT
3706,3706,,Business Culture,Văn hóa kinh doanh,VDTLT
3707,3707,,Atomic scale simulation,Mô phỏng mức nguyên tử,KKHVCNVL
3708,3708,,Costume Art,Mỹ thuật trang phục,KCNDMVTT
3709,3709,,Wireless Communications,Thông tin vô tuyến,KDTVT
3710,3710,,Microwave Engineering,Kỹ thuật siêu cao tần,KDTVT
3711,3711,,Computer Network,Computer Network,KCNTT
3712,3712,,Database,Database,KCNTT
3713,3713,,Object-Oriented Language and Theory (Java),Object-Oriented Language and Theory (Java),KCNTT
3714,3714,IT3260E,Computer Architecture,Computer Architecture,KCNTT
3715,3715,,Discrete Mathematics,Toán rời rạc,KCNTT
3716,3716,,Operating Systems,Hệ điều hành,KCNTT
3717,3717,,Computer Networks,Mạng máy tính,KCNTT
3718,3718,,C Programming (Advanced),Lập trình C (nâng cao),KCNTT
3719,3719,,Software Engineering,Kỹ thuật phần mềm,KCNTT
3720,3720,,Chemical Engineering Thermodynamics,Nhiệt động kỹ thuật hóa học,KCNHH
3721,3721,,Graduation Project,Đồ án tốt nghiệp,KD
3722,3722,,Presentation in English,Kỹ năng thuyết trình tiếng Anh,KNN
3723,3723,,Database,Cơ sở dữ liệu,KTTD
3724,3724,,Senior Project,Đồ án môn học chuyên ngành,KTTD
3725,3725,,Stochastic Models and Applications,Các mô hình ngẫu nhiên và ứng dụng,KTTD
3726,3726,,Mathematical Methods in Finance,CĐ4: Một số PP toán học trong tài chính,KTTD
3727,3727,,Graduation Project,Đồ án tốt nghiệp,VVLKT
3728,3728,,Data Structures,Cấu trúc dữ liệu,KDTVT
3729,3729,,Technical Communication,Kỹ năng giao tiếp kỹ thuật,KNN
3730,3730,,Graduation Practicum,Thực tập tốt nghiệp,KCK
3731,3731,,Graduation Project,Đồ án tốt nghiệp,KCK
3732,3732,,Biomaterials,Vật liệu y sinh,KKHVCNVL
3733,3733,,Programmable Control Systems,Hệ thống điều khiển lập trình,KD
3734,3734,,Introduction to Electrical and Electronic Engineering,Nhập môn kỹ thuật điện-điện tử,KDTVT
3735,3735,,Digital System Design 2,Thiết kế hệ thống số 2,KDTVT
3736,3736,,Analog Electronics I,Điện tử tương tự I,KDTVT
3737,3737,,Signals and Systems,Tín hiệu và hệ thống,KD
3738,3738,,Graduation Practicum,Thực tập tốt nghiệp,KD
3739,3739,,Graduation Practicum,Thực tập tốt nghiệp,VVLKT
3740,3740,,Grid Computing,Tính toán phân tán,KCNTT
3741,3741,,Equipments in Refinery and Petroleum Plants,Thiết bị nhà máy lọc hóa dầu,KCNHH
3742,3742,,Introduction to Electrical Engineering,Nhập môn kỹ thuật ngành điện,KD
3743,3743,,Applied Psychology,Tâm lý học ứng dụng,KSPKT
3744,3744,,Business Culture and Entrepreneurship,Văn hóa kinh doanh và tinh thần khởi nghiệp,KKTVQL
3745,3745,,Technology and technical design thinking,Tư duy công nghệ và thiết kế kỹ thuật,KDTVT
3746,3746,,Technical Writing and Presentation,Technical Writing and Presentation,KCNDMVTT
3747,3747,,Textile Production Management,Quản lý sản xuất ngành dệt,KCNDMVTT
3748,3748,,Industrial Design,Thiết kế mỹ thuật công nghiệp,KCNDMVTT
3749,3749,,Applied informatics in Industrial Production,Tin học ứng dụng trong sản xuất công nghiệp may,KCNDMVTT
3750,3750,,Basic Footwear Design,Thiết kế giầy cơ bản ,KCNDMVTT
3751,3751,,Basics Fashion Drawing,Hình họa thời trang cơ bản,KCNDMVTT
3752,3752,,Preparation of weaving,Chuẩn bị dệt,KCNDMVTT
3753,3753,,Design and Mass production of Knitwear,Thiết kế và gia công sản phẩm dệt kim,KCNDMVTT
3754,3754,,Design of Leather Goods,Thiết kế sản phẩm da,KCNDMVTT
3755,3755,,Short staple spinning technology,Kỹ thuật kéo sợi xơ ngắn,KCNDMVTT
3756,3756,,Design of Sewing Line,Thiết kế dây chuyền may,KCNDMVTT
3757,3757,,Advanced Footwear Design,Thiết kế giầy nâng cao ,KCNDMVTT
3758,3758,,Advanced Fashion Drawing,Hình họa thời trang nâng cao,KCNDMVTT
3759,3759,,Fundamentals in Knitting Engineering,Kỹ thuật dệt kim cơ bản,KCNDMVTT
3760,3760,,Weaving technology,Kỹ thuật dệt thoi,KCNDMVTT
3761,3761,,Technology of Clothing Manufacturing,Công nghệ sản xuất sản phẩm may,KCNDMVTT
3762,3762,,Practice of Footwear Technology,Thực hành công nghệ sản xuất giầy,KCNDMVTT
3763,3763,,Fashion concept development,Phát triển ý tưởng thời trang,KCNDMVTT
3764,3764,,Patterned knitting techniques,Kỹ thuật dệt kim hoa,KCNDMVTT
3765,3765,,Practice of Dyeing – Printing and Finishing Technology,Thực hành công nghệ nhuộm – in hoa - hoàn tất sản phẩm dệt may,KCNDMVTT
3766,3766,,Clothing Design Practice,Thực hành thiết kế trang phục,KCNDMVTT
3767,3767,,Pretreatment Process of Textile Materials: Technologies and equipments,Công nghệ và thiết bị tiền xử lý sản phẩm dệt,KCNDMVTT
3768,3768,,Cutting and Sewing Technology of Footwear and Leather Goods,Công nghệ cắt may sản phẩm da giầy,KCNDMVTT
3769,3769,,Nonwoven Technology,Công nghệ không dệt,KCNDMVTT
3770,3770,,Technology of Dyeing and Printing in textile,Công nghệ và thiết bị nhuộm – in hoa sản phẩm dệt,KCNDMVTT
3771,3771,MI3131,Economics Mathematis 2,Toán kinh tế 2,KKTVQL
3772,3772,,Ecologycal Testing of Textile Material,Phân tích sinh thái vật liệu dệt may,KCNDMVTT
3773,3773,,Footwear Lasting - Bottoming and FinishingTechnology,Công nghệ gò ráp đế và hoàn tất giầy,KCNDMVTT
3774,3774,,Textile Finishing Technology and Color matching,Công nghệ-thiết bị hoàn tất và kỹ thuật đo màu,KCNDMVTT
3775,3775,,Spindless spinning technology,Kỹ thuật kéo sợi không cọc,KCNDMVTT
3776,3776,,Spinning line designing,Thiết kế dây chuyền kéo sợi,KCNDMVTT
3777,3777,,Yarns practice 1,Thực hành sợi 1,KCNDMVTT
3778,3778,,Technology for woven fabrics manufacturing,Công nghệ sản xuất vải dệt thoi,KCNDMVTT
3779,3779,,Production of knitted fabric,Công nghệ sản xuất vải dệt kim,KCNDMVTT
3780,3780,,Textile practice 1,Thực hành dệt 1,KCNDMVTT
3781,3781,,Textile production line designing,Thiết kế dây chuyền dệt,KCNDMVTT
3782,3782,,Yarn manufacture,Công nghệ sản xuất sợi,KCNDMVTT
3783,3783,,Engineering Practicum,Thực tập kỹ thuật,KCNDMVTT
3784,3784,,Fermentation Engineering,Kỹ thuật lên men,VCNSHVTP
3785,3785,,Introduction to Communication Engineering,Nhập môn kỹ thuật truyền thông,KCNTT
3786,3786,,Signal Processing,Xử lý tín hiệu,KCNTT
