,id,Mã học phần,Tên học phần,Thời lượng,Số tín chỉ,TC học phí,Trọng số
3198,3198,MSE4113,Kỹ thuật luyện gang và thép,3(3-0-0-6),3,3,0.7
3199,3199,MSE4114,Luyện kim màu và luyện kim bột,3(3-0-0-6),3,3,0.7
3200,3200,MSE4115,Công nghệ xử lý nhiệt và bề mặt,3(2-1-1-6),3,4.5,0.7
3201,3201,MSE4417,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3202,3202,CH4700,Hoàn thiện sản phẩm in,3(3-0-1-6),3,4.5,0.7
3203,3203,CH4701,Đồ án tổ chức sản xuất in,3(0-0-6-6),3,6,0.7
3204,3204,CH4702,TN chuyên ngành kỹ thuật in,3(0-0-6-6),3,9,0.7
3205,3205,CH4710,Thiết kế đồ họa,3(2-2-0-6),3,4,0.7
3206,3206,CH4711,Đồ án thiết kế sản phẩm truyền thông,3(0-0-6-6),3,6,0.7
3207,3207,CH4712,TN CN kỹ thuật đồ họa,2(0-0-4-4),2,6,0.7
3208,3208,CH4713,"Thiết kế, trình bày sản phẩm in truyền thông",3(2-2-0-6),3,4,0.7
3209,3209,CH4714,Hệ thống quản lý màu,2(2-1-0-4),2,3,0.7
3210,3210,CH4715,Chuyên đề,2(2-1-0-4),2,3,0.7
3211,3211,CH4876,Các phương pháp phân tích quang phổ,2(2-1-0-4),2,3,0.7
3212,3212,CH4877,Các phương pháp phân tích điện hóa,2(2-1-0-4),2,3,0.7
3213,3213,CH4878,Các phương pháp tách trong hóa phân tích,3(3-1-0-6),3,4,0.7
3214,3214,CH4879,TN chuyên ngành Hóa phân tích 1,2(0-0-4-4),2,6,0.7
3215,3215,CH4880,TN chuyên ngành Hóa phân tích 2,2(0-0-4-4),2,6,0.7
3216,3216,CH4881,Xử lý số liệu thực nghiệm trong hoá phân tích,2(2-1-0-4),2,3,0.7
3217,3217,CH4900,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3218,3218,CH4901,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3219,3219,CH4902,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3220,3220,ED3110,Tâm lý học,4(3-1-0-6),4,4,0.7
3221,3221,ED3160,Kỹ năng dạy học,3(2-1-1-4),3,4.5,0.7
3222,3222,EM3523,Quản trị tài chính,3(3-0-0-6),3,3,0.7
3223,3223,CH4800,Hóa keo,2(2-1-0-4),2,3,0.7
3224,3224,CH4801,Kỹ thuật xúc tác,2(2-1-0-4),2,3,0.7
3225,3225,CH4803,Các phản ứng xúc tác trong công nghệ mới và bảo vệ môi trường,2(2-0-0-4),2,2,0.7
3226,3226,CH4825,Các phương pháp tổng hợp hữu cơ,3(2-2-0-6),3,4,0.7
3227,3227,CH4826,Xúc tác hữu cơ,2(2-0-0-4),2,2,0.7
3228,3228,CH4827,Hóa học các hợp chất thiên nhiên,3(3-0-0-6),3,3,0.7
3229,3229,CH4828,Cơ chế phản ứng hóa hữu cơ,3(2-2-0-6),3,4,0.7
3230,3230,CH4829,Phân tích thành phần và cấu trúc các hợp chất hữu cơ,2(2-1-0-4),2,3,0.7
3231,3231,CH4830,Cơ sở hóa lập thể hữu cơ,2(2-0-0-4),2,2,0.7
3232,3232,CH4831,Hóa hữu cơ ứng dụng,2(2-0-0-4),2,2,0.7
3233,3233,CH4832,Các hợp chất có độc tính đối với sinh vật,2(2-0-0-4),2,2,0.7
3234,3234,CH4833,Hương liệu và mỹ phẩm,2(2-0-0-4),2,2,0.7
3235,3235,CH4834,Tổng hợp các hợp chất có hoạt tính sinh học,2(2-0-0-4),2,2,0.7
3236,3236,CH4835,Sinh tổng hợp trong hóa học hữu cơ,2(2-0-0-4),2,2,0.7
3237,3237,CH4836,Phân tích cấu trúc và thành phần các hợp chất hữu cơ,2(2-1-0-4),2,3,0.7
3238,3238,CH4850,Hóa học phức chất,2(2-0-0-4),2,2,0.7
3239,3239,CH4851,Hóa học và công nghệ các nguyên tố đất hiếm,2(2-0-0-4),2,2,0.7
3240,3240,CH4852,Hóa học phóng xạ,3(3-0-0-6),3,3,0.7
3241,3241,CH4853,Hóa sinh vô cơ,3(3-0-0-6),3,3,0.7
3242,3242,CH4854,Hóa học chất rắn,3(2-0-2-6),3,5,0.7
3243,3243,CH4855,Hóa học xanh,2(2-0-0-4),2,2,0.7
3244,3244,CH4856,Polyme vô cơ,2(2-0-0-4),2,2,0.7
3245,3245,CH4857,Vật liệu lai tạo,2(2-0-0-4),2,2,0.7
3246,3246,CH4858,Chất màu vô cơ,2(2-0-0-4),2,2,0.7
3247,3247,CH4875,Xử lý mẫu trong hóa phân tích,2(2-1-0-4),2,3,0.7
3248,3248,ED3140,Công nghệ dạy học,2(2-0-0-4),2,2,0.7
3249,3249,ED3170,Phương pháp luận nghiên cứu khoa học,2(2-1-0-4),2,3,0.6
3250,3250,ED3180,Thực hành thiết kế phim dạy học,2(1-2-0-2),2,3,0.7
3251,3251,ED3190,Thực hành thiết kế hypermedia trong dạy học,2(1-2-0-2),2,3,0.7
3252,3252,ED3200,Tổ chức quá trình dạy học trên mạng,2(1-0-2-4),2,4,0.7
3253,3253,ED3210,Phương pháp hướng dẫn học tập,2(2-0-0-4),2,2,0.7
3254,3254,ED3220,Kỹ năng mềm,2(1-2-0-2),2,3,0.7
3255,3255,ED3230,Lý thuyết thiết kế chương trình đào tạo,2(2-0-0-4),2,2,0.7
3256,3256,ED4051,Lý luận dạy học chuyên ngành kỹ thuật Điện tử,2(2-0-0-4),2,2,0.7
3257,3257,ED4052,Lý luận dạy học chuyên ngành kỹ thuật Điện,2(2-0-0-4),2,2,0.7
3258,3258,ED4053,Lý luận dạy học chuyên ngành kỹ thuật Cơ khí,2(2-0-0-4),2,2,0.7
3259,3259,ED4054,Lý luận dạy học chuyên ngành CNTT,2(2-0-0-4),2,2,0.7
3260,3260,ED4060,Thực hành giảng dạy,2(0-0-4-4),2,6,0.6
3261,3261,ED4070,Thực tập sư phạm,2(0-0-6-4),2,4,1
3262,3262,ED4080,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3263,3263,EE3559,Điều khiển quá trình,3(3-0-1-6),3,4.5,0.7
3264,3264,EE3820,Đồ án II,2(0-4-0-8),2,4,0.5
3265,3265,EE3910,Thực tập kỹ thuật,2(0-0-4-4),2,4,0.5
3266,3266,EE4040,Bảo vệ và điều khiển HTĐ I,3(3-1-0-6),3,4,0.7
3267,3267,EE4041,"TN Hệ thống điện II (BV&ĐK, NMĐ&TBA)",1(0-0-2-2),1,3,1
3268,3268,EE4051,"TN Hệ thống điện I (CA I, Lưới điện)",1(0-0-2-2),1,3,1
3269,3269,EE4060,Đồ án III (HTĐ),2(0-0-4-4),2,4,1
3270,3270,EE4070,Điều khiển thiết bị điện,3(3-0-1-6),3,4.5,0.7
3271,3271,EE4090,Khí cụ điện cao áp,3(3-0-1-6),3,4.5,0.7
3272,3272,EE4220,Điều khiển logic và PLC,3(3-0-1-6),3,4.5,0.7
3273,3273,EE4230,Lý thuyết điều khiển II,3(3-1-0-6),3,4,0.7
3274,3274,EE4240,Trang bị điện-điện tử các máy công nghiệp,3(3-1-0-6),3,4,0.7
3275,3275,EE4250,Xử lý tín hiệu,3(3-1-0-6),3,4.5,0.7
3276,3276,EE4251,Thiết kế hệ thống nhúng,3(3-1-0-6),3,4,0.5
3277,3277,EE4253,Cơ sở dữ liệu,2(2-1-0-4),2,3,0.7
3278,3278,EE4260,Thiết kế thiết bị đo,2(2-1-0-4),2,3,0.7
3279,3279,EE4401,Thiết kế hệ điều khiển nhúng,3(2-2-0-6),3,4,0.5
3280,3280,EE4910,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3281,3281,EE4082,Kỹ thuật chiếu sáng,3(3-1-0-6),3,4,0.5
3282,3282,EE4379,Tự động hóa và dụng cụ đo trong xử lý môi trường,2(2-1-0-4),2,3,0.7
3283,3283,EM4350,Thực tập tốt nghiệp,2(0-0-4-8),2,5,0.5
3284,3284,EM4351,Khóa luận tốt nghiệp,6(0-0-12-24),6,15,0.5
3285,3285,EM4442,Quản lý dự trữ,2(2-0-0-4),2,2,0.6
3286,3286,EM4450,Thực tập tốt nghiệp,2(2-0-4-8),2,5,0.5
3287,3287,EM4451,Khóa luận tốt nghiệp,6(0-0-12-24),6,15,0.5
3288,3288,EM4533,Quản trị rủi ro,2(2-1-0-4),2,3,0.6
3289,3289,EM4535,Phân tích tài chính,2(2-1-0-4),2,3,0.6
3290,3290,EM4537,Tài chính quốc tế,2(2-0-0-4),2,2,0.7
3291,3291,EM4539,Định giá doanh nghiệp,2(2-1-0-4),2,3,0.7
3292,3292,EM4550,Thực tập tốt nghiệp,2(0-0-4-8),2,5,0.5
3293,3293,EM4551,Khóa luận tốt nghiệp,6(0-0-12-24),6,15,0.5
3294,3294,EM4625,Kinh tế tài nguyên & môi trường,2(2-0-0-4),2,2,0.7
3295,3295,EM4650,Thực tập tốt nghiệp,2(2-0-4-4),2,5,0.5
3296,3296,EM4651,Khóa luận tốt nghiệp,6(0-0-12-24),6,15,0.5
3297,3297,EM4713,Kế toán tài chính I,4(3-2-0-8),4,5,0.7
3298,3298,EM4714,Kế toán tài chính II,3(3-0-0-6),3,3,0.7
3299,3299,EM4715,Hệ thống thông tin kế toán,3(3-0-0-6),3,3,0.7
3300,3300,EM4716,Kế toán quản trị,3(2-2-0-6),3,4,0.7
3301,3301,EM4717,Kế toán quản trị,4(3-2-0-8),4,5,0.7
3302,3302,EM4718,Kế toán các doanh nghiệp đặc thù,2(2-1-0-4),2,3,0.7
3303,3303,EM4719,Kế toán hành chính sự nghiệp,2(2-1-0-4),2,3,0.7
3304,3304,EM4725,Kiểm toán cơ bản,4(3-2-0-8),4,5,0.7
3305,3305,EM4726,Kiểm toán tài chính,2(2-0-0-4),2,2,0.7
3306,3306,EM4730,Kế toán thuế,2(2-1-0-4),2,3,0.7
3307,3307,EM4732,Kế toán ngân hàng,3(3-0-0-6),3,3,0.7
3308,3308,EM4734,Kế toán quốc tế,2(2-1-0-4),2,3,0.7
3309,3309,EM4750,Thực tập tốt nghiệp,2(2-0-4-4),2,5,0.5
3310,3310,EM4751,Khóa luận tốt nghiệp,6(0-0-12-24),6,15,0.5
3311,3311,ET3270,Thực tập kỹ thuật,2(0-0-4-4),2,4,1
3312,3312,ET4010,Đồ án thiết kế II,2(0-0-4-4),2,4,1
3313,3313,ET4030,"Thiết kế, tổng hợp IC số và hệ thống số",4(4-1-0-8),4,5,0.7
3314,3314,ET4031,"Thiết kế, tổng hợp hệ thống số",2(2-1-0-4),2,3,0.7
3315,3315,ET4040,Kiến trúc máy tính,3(3-0-1-6),3,4.5,0.7
3316,3316,ET4070,Cơ sở truyền số liệu,3(3-0-1-6),3,4.5,0.7
3317,3317,ET4080,Mạng thông tin,3(3-0-1-6),3,4.5,0.7
3318,3318,ET4090,Kỹ thuật siêu cao tần,3(3-1-0-6),3,4,0.7
3319,3319,ET4100,Cơ sở điện sinh học,2(2-0-1-4),2,3.5,0.7
3320,3320,ET4110,Cảm biến và KT đo lường y sinh,3(3-0-1-6),3,4.5,0.7
3321,3321,ET4120,Thiết bị điện tử y sinh I,2(2-0-1-4),2,3.5,0.7
3322,3322,ET4130,Truyền số liệu và chuyển tiếp điện văn,3(3-1-0-6),3,4,0.7
3323,3323,ET4140,Định vị và dẫn đường điện tử,3(3-0-1-6),3,4.5,0.7
3324,3324,ET4900,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3325,3325,ET4160,Điện tử y sinh,2(2-1-0-4),2,3,0.7
3326,3326,ET4060,Phân tích và thiết kế hướng đối tượng,3(3-1-0-6),3,4,0.7
3327,3327,ET4150,Mạng thông tin hàng không,3(3-1-0-6),3,4,0.7
3328,3328,EV2222,Truyền thông môi trường,2(2-1-0-4),2,3,0.7
3329,3329,EV3124,Quy hoạch thực nghiệm,2(2-0-0-4),2,2,0.7
3330,3330,EV3212,Chuyên đề,2(2-0-0-4),2,2,1
3331,3331,EV3223,Quản lý môi trường đô thị,2(2-0-0-4),2,2,0.7
3332,3332,EV3321,Thực tập kỹ thuật,2(0-0-4-4),2,4,0.65
3333,3333,EV4112,Kỹ thuật xử lý nước và nước thải,4(3-2-0-4),4,5,0.8
3334,3334,EV4114,Ô nhiễm không khí trong nhà,2(2-1-0-4),2,3,0.7
3335,3335,EV4115,Xử lý nước thải bằng các quá trình tự nhiên,2(2-1-0-4),2,3,0.6
3336,3336,EV4116,Ứng dụng mô hình trong thiết kế hệ thống xử lý chất thải,2(2-1-0-4),2,3,0.8
3337,3337,EV4117,Hệ thống cấp thoát nước,2(2-1-0-4),2,3,0.8
3338,3338,EV4118,Quản lý và vận hành hệ thống xử lý chất thải,2(2-1-0-4),2,3,0.7
3339,3339,EV4121,TN Xử lý chất thải,2(0-0-4-4),2,6,0.7
3340,3340,EV4122,Các quá trình xử lý nitơ và phốt pho trong nước thải,2(2-1-0-4),2,3,0.7
3341,3341,EV4216,Quản lý chất thải rắn và chất thải nguy hại,4(4-1-0-8),4,5,0.7
3342,3342,EV4212,Mô hình hóa trong kỹ thuật môi trường,3(3-1-0-6),3,4,0.7
3343,3343,EV4213,Đánh giá tác động môi trường và rủi ro,3(3-1-0-6),3,4,0.7
3344,3344,EV4214,Quan trắc môi trường,3(2-0-2-6),3,5,0.7
3345,3345,EV4215,Nguyên lý sản xuất sạch hơn,3(3-1-0-6),3,4,0.7
3346,3346,EV4221,Năng lượng và môi trường,2(2-0-0-4),2,2,0.7
3347,3347,EV4311,Đồ án II,2(0-0-4-4),2,4,0.5
3348,3348,EV4321,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3349,3349,FL3282,Văn học Anh-Mỹ,3(2-2-0-6),3,4,0.6
3350,3350,FL4012,Dịch nói III TA KT Điện-Điện tử,4(3-0-2-8),4,6,0.5
3351,3351,FL4013,Dịch viết III TA KT Điện-điện tử,4(3-2-0-8),4,5,0.5
3352,3352,FL4022,Dịch nói III TA CNTT và TT,4(3-0-2-8),4,6,0.5
3353,3353,FL4023,Dịch viết III TA CNTT và TT,4(3-2-0-8),4,5,0.5
3354,3354,FL4032,Dịch nói III TA Cơ khí và KH VL,4(3-0-2-8),4,6,0.5
3355,3355,FL4033,Dịch viết III TA CK và KHVL,4(3-2-0-8),4,5,0.5
3356,3356,FL4042,Dịch nói III TA KT và KD,4(3-0-2-8),4,6,0.5
3357,3357,FL4043,Dịch viết III TA KT và KD,4(3-2-0-8),4,5,0.5
3358,3358,FL4082,Dịch nói III TA Hóa Môi trường,4(3-0-2-8),4,6,0.5
3359,3359,FL4083,Dịch viết III TA Hóa Môi trường,4(3-2-0-8),4,5,0.5
3360,3360,FL5080,Thực tập tốt nghiệp,3(0-0-6-12),3,7.5,1
3361,3361,FL5081,Khóa luận tốt nghiệp,6(0-0-12-12),6,15,0.5
3362,3362,BF4702,Độc tố học môi trường,2(2-0-0-4),2,2,0.7
3363,3363,HE4000,Thực tập kỹ thuật,2(0-0-4-4),2,4,0.5
3364,3364,HE4001,Đồ án thiết kế nhà máy nhiệt điện,2(0-0-4-4),2,4,0.7
3365,3365,IT4079,Ngôn ngữ và phương pháp dịch,2(2-1-0-4),2,3,0.6
3366,3366,IT4141,Các thuật toán cơ bản trong tính toán tiến hoá,3(3-1-0-6),3,4,0.7
3367,3367,NE3061,An toàn bức xạ phóng xạ,2(2-1-0-4),2,3,0.7
3368,3368,NE4002,Phương pháp tính toán số và lập trình ứng dụng,2(2-0-0-4),2,2,0.6
3369,3369,NE4003,Phương pháp Monte Carlo ứng dụng trong kỹ thuật hạt nhân,3(2-2-0-6),3,4,0.6
3370,3370,NE4111,Động học lò phản ứng hạt nhân,3(3-0-0-6),3,3,0.7
3371,3371,NE4112,Hóa học phóng xạ,3(3-0-0-6),3,3,0.7
3372,3372,NE4113,Cơ học chất lưu,3(3-0-0-6),3,3,0.7
3373,3373,NE4114,Thiết bị trao đổi nhiệt,2(2-0-0-4),2,2,0.7
3374,3374,NE4115,Nhà máy điện hạt nhân,3(3-0-0-6),3,3,0.7
3375,3375,NE4211,Kỹ thuật đo đạc bức xạ II,3(3-0-0-6),3,3,0.7
3376,3376,HE4208,Kỹ thuật điều hòa không khí,3(2-1-1-6),3,4.5,0.7
3377,3377,HE4212,Máy và thiết bị lạnh,3(2-1-1-6),3,4.5,0.6
3378,3378,HE4214,"Bảo dưỡng, lắp đặt, vận hành máy lạnh và ĐHKK",2(2-0-1-4),2,3.5,0.7
3379,3379,HE4900,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3380,3380,IT4251,Thiết kế IC,3(3-1-0-6),3,4,0.7
3381,3381,IT4341,Hệ trợ giúp quyết định,2(2-1-0-4),2,3,0.6
3382,3382,IT4361,Hệ cơ sở tri thức,2(2-1-0-4),2,3,0.7
3383,3383,IT4421,Đồ án các công nghệ xây dựng HTTT,3(0-0-6-6),3,6,0.5
3384,3384,IT4541,Quản lý dự án phần mềm,2(2-1-0-4),2,3,0.6
3385,3385,IT4551,Phát triển phần mềm chuyên nghiệp,3(2-2-0-6),3,4,0.7
3386,3386,IT4661,Quản trị dữ liệu phân tán,2(2-1-0-4),2,3,0.7
3387,3387,IT4681,Truyền thông đa phương tiện,3(2-1-1-6),3,4.5,0.6
3388,3388,IT4859,Thiết kế và quản trị cơ sở dữ liệu,3(2-0-2-6),3,5,0.7
3389,3389,IT4991,Thực tập kỹ thuật,2(0-0-4-4),2,4,0.5
3390,3390,IT4995,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3391,3391,ME3115,Phương pháp số trong cơ học,3(2-2-0-6),3,4,0.7
3392,3392,ME3168,Robotics (BTL),3(3-1-0-6),3,4,0.6
3393,3393,ME3330,Xử lý tín hiệu số và Kỹ thuật đo dao động,2(2-1-0-4),2,3,0.7
3394,3394,ME3340,Vật liệu kỹ thuật đại cương,3(3-0-0-6),3,3,0.7
3395,3395,NE4212,Cơ sở vật lý môi trường,3(3-0-0-6),3,3,0.5
3396,3396,NE4213,Máy gia tốc và ứng dụng,3(3-0-0-6),3,3,0.7
3397,3397,NE4214,Kỹ thuật phân tích hạt nhân,3(3-0-0-6),3,3,0.7
3398,3398,NE4215,Kỹ thuật hạt nhân ứng dụng,2(2-0-0-4),2,2,0.7
3399,3399,NE4902,Thực tập kỹ thuật II,1(0-0-2-2),1,2,1
3400,3400,NE4903,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3401,3401,PH2022,Đồ án môn học II,3(0-0-6-6),3,6,1
3402,3402,PH3297,Vật liệu và công nghệ nano,3(2-2-0-6),3,4,0.7
3403,3403,ME4068,Nhập môn vi cơ điện tử,2(2-1-0-4),2,3,0.7
3404,3404,ME4088,Cơ sở máy CNC,2(2-0-1-4),2,3.5,0.7
3405,3405,ME4095,Đồ án II: Đồ án mô phỏng số hệ cơ học,2(0-0-4-4),2,4,0.7
3406,3406,ME4097,Đồ án Mô hình hóa và thiết kế kết cấu,2(0-0-4-4),2,4,0.7
3407,3407,ME4098,Thiết kế nhà máy cơ khí,2(2-1-0-4),2,3,0.7
3408,3408,ME4195,Tối ưu hóa và điều khiển tối ưu,2(2-1-0-4),2,3,0.7
3409,3409,ME4197,Mô hình hóa vật liệu và kết cấu nanô,2(2-0-0-4),2,2,0.7
3410,3410,ME4198,Động lực học và điều khiển Rôbốt công nghiệp,2(2-0-1-4),2,3.5,0.7
3411,3411,ME4258,Thực tập kỹ thuật,2(0-0-6-4),2,4,0.7
3412,3412,ME4283,Thiết bị hàn hồ quang,2(2-0-1-4),2,3.5,0.7
3413,3413,ME4284,Đồ án Công nghệ hàn nóng chảy,2(0-0-4-4),2,6,0.7
3414,3414,ME4285,Đồ án gia công áp lực,2(0-0-4-4),2,4,0.7
3415,3415,ME4286,Công nghệ và thiết bị đúc phun chất dẻo,3(3-0-0-6),3,3,0.7
3416,3416,ME4287,Công nghệ và thiết bị đùn chất dẻo,3(3-0-0-6),3,3,0.7
3417,3417,ME4288,Sửa chữa máy công cụ,2(2-0-1-4),2,3.5,0.7
3418,3418,ME4289,Truyền dẫn thuỷ lực trong máy công cụ,2(2-0-1-4),2,3.5,0.7
3419,3419,ME4293,Phần mềm phân tích và mô phỏng các hệ động lực có điều khiển,2(2-1-0-4),2,3,0.7
3420,3420,ME4336,Đồ án thiết kế hệ thống CĐT,3(0-0-6-6),3,6,0.7
3421,3421,ME4358,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3422,3422,ME4391,Các hệ cơ điện tử,3(2-1-1-6),3,4.5,0.7
3423,3423,ME4393,Các phần mềm mô phỏng,2(2-1-0-4),2,3,0.7
3424,3424,ME4394,Thống kê và phân tích số liệu,2(2-1-0-4),2,3,0.7
3425,3425,ME4395,Lưu biến học,2(2-0-0-4),2,2,0.7
3426,3426,ME4433,Dụng cụ gia công CNC,2(2-1-0-4),2,3,0.7
3427,3427,ME4434,Đảm bảo chất lượng sản phẩm CN,2(2-1-0-4),2,3,0.7
3428,3428,ME4435,Thiết bị đo trong cơ khí chế tạo máy,2(2-0-1-4),2,3.5,0.7
3429,3429,ME4436,CAD nâng cao,2(2-1-0-4),2,3,0.7
3430,3430,ME4437,CN các SP Composite,2(2-1-0-4),2,3,0.7
3431,3431,ME4439,Thực tập kỹ thuật,2(0-0-6-4),2,4,0.7
3432,3432,ME4441,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3433,3433,ME4443,Đồ án cơ khí chính xác & QH,2(0-0-4-4),2,4,0.7
3434,3434,MI3390,Đồ án II,3(0-0-6-6),3,6,0.5
3435,3435,MI4311,Tối ưu tổ hợp I,3(3-1-0-6),3,4,0.7
3436,3436,MI4321,Phương pháp phần tử hữu hạn,3(3-1-0-6),3,4,0.7
3437,3437,MI4331,Xêmina I (Toán ứng dụng),3(1-2-2-6),3,6,0.5
3438,3438,MI4332,Lập trình 3D,3(2-2-0-6),3,4,0.7
3439,3439,MI4341,Một số phương pháp toán học trong tài chính,3(3-1-0-6),3,4,0.7
3440,3440,MI4342,Kiến trúc máy tính,3(3-1-0-6),3,4,0.7
3441,3441,MI4362,Tính toán song song,3(2-2-0-6),3,4,0.7
3442,3442,MI4372,"Thiết kế, cài đặt và quản trị mạng máy tính",3(2-2-0-6),3,4,0.7
3443,3443,MI4382,Đồ họa máy tính,3(3-1-0-6),3,4,0.7
3444,3444,MI4800,Thực tập kỹ thuật,2(0-0-4-4),2,4,0.5
3445,3445,MI4900,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3446,3446,PH3500,Thực tập kỹ thuật,2(0-0-6-4),2,4,1
3447,3447,PH3510,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3448,3448,PH4037,TN CN vật liệu điện tử,2(0-0-4-4),2,6,1
3449,3449,PH4317,Mô phỏng mức nguyên tử,3(2-1-1-6),3,4.5,0.7
3450,3450,PH4327,Cơ học nano cho VL và VL sinh học,3(2-2-0-6),3,4,0.7
3451,3451,PH4730,Quang tử,2(2-0-0-4),2,2,0.7
3452,3452,PH4820,Thực tập công nghệ vi hệ thống,3(0-0-6-6),3,6,1
3453,3453,PH4830,Lý thuyết thiết kế mạch tích hợp,3(2-1-1-6),3,4.5,0.7
3454,3454,TE3602,Kỹ thuật thủy khí,2(2-1-0-4),2,3,0.6
3455,3455,TE4000,Thực tập kỹ thuật,2(0-0-4-4),2,4,1
3456,3456,TE4004,Thực tập kỹ thuật,2(0-0-6-4),2,4,1
3457,3457,TE4005,Thực tập kỹ thuật,2(0-0-4-4),2,4,1
3458,3458,TE4010,Thí nghiệm động cơ đốt trong,3(3-0-1-6),3,9,0.7
3459,3459,TE4020,"Kỹ thuật bảo dưỡng, sửa chữa ĐCĐT",3(3-0-1-6),3,4.5,0.7
3460,3460,TE4050,Trang bị năng lượng tàu thủy,3(3-1-0-6),3,4,0.7
3461,3461,TE4200,Hệ thống điện và điện tử ô tô,3(3-0-1-6),3,4.5,0.5
3462,3462,TE4210,Thiết kế tính toán ô tô,3(3-1-0-6),3,4,0.6
3463,3463,TE4220,Công nghệ khung vỏ ô tô,2(2-0-0-4),2,2,0.6
3464,3464,TE4440,Truyền động thủy động,3(3-1-0-6),3,4,0.6
3465,3465,TE4450,Lý thuyết điều chỉnh tự động bằng các CCTK,3(3-1-0-6),3,4,0.6
3466,3466,TE4470,Truyền động thủy lực thể tích,2(2-0-1-4),2,3.5,0.7
3467,3467,TE4480,Lý thuyết cánh II,2(2-0-1-4),2,3.5,0.6
3468,3468,TE4630,Công nghệ đóng tàu và phương tiện nổi,3(3-1-0-6),3,4,0.7
3469,3469,TE4640,Đồ án chuyên ngành thiết kế tàu thủy,2(0-0-4-4),2,4,1
3470,3470,TE4801,Động cơ hàng không I,3(2-1-1-6),3,4.5,0.7
3471,3471,TE4811,Nhập môn phương pháp số trong KTHK,2(2-1-0-4),2,3,0.6
3472,3472,TE4821,Kiểm tra và bảo dưỡng máy bay,3(2-2-0-6),3,4,0.6
3473,3473,TE4831,Trang thiết bị mặt đất,3(3-0-0-6),3,3,0.8
3474,3474,TE4841,Cơ học vật bay,4(3-2-0-6),4,5,0.6
3475,3475,TE4990,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3476,3476,TE4994,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3477,3477,TE4995,Đồ án tốt nghiệp cử nhân,6(0-0-12-12),6,15,0.5
3478,3478,TEX3021,Quản lý chất lượng dệt may,3(3-0-0-6),3,3,0.7
3479,3479,TEX3070,An toàn lao động và môi trường dệt may,2(2-0-0-4),2,2,0.7
3480,3480,TEX3080,Cấu trúc vải,2(2-0-1-4),2,3.5,0.7
3481,3481,TEX3101,Đồ án thiết kế,3(0-0-6-6),3,6,0.5
3482,3482,TEX4253,"Thực hành công nghệ tiền xử lý, nhuộm–in hoa–hoàn tất sản phẩm dệt may",3(0-0-6-6),3,9,0.5
3483,3483,TEX4263,Công nghệ và thiết bị tiền xử lý sản phẩm dệt,2(2-0-0-4),2,2,0.7
3484,3484,TEX4273,Công nghệ và thiết bị nhuộm – in hoa,4(4-0-0-8),4,4,0.7
3485,3485,TEX4282,Thiết kế mẫu sản xuất,2(0-0-4-4),2,6,0.6
3486,3486,TEX4283,Công nghệ và thiết bị hoàn tất sản phẩm dệt may,2(2-0-0-4),2,2,0.7
3487,3487,TEX4361,Công nghệ kéo sợi xơ dài,3(3-0-1-6),3,4.5,0.7
3488,3488,BF4092,Hóa sinh thực phẩm,3(3-0-0-6),3,3,0.7
3489,3489,TEX4302,Tin học ứng dụng trong sản xuất công nghiệp may,2(0-0-4-4),2,6,0.6
3490,3490,TEX4311,Chuẩn bị dệt,2(2-0-1-4),2,3.5,0.7
3491,3491,TEX4312,Cơ sở tạo mẫu trang phục,3(1-4-0-6),3,5,0.6
3492,3492,TEX4322,Thiết kế dây chuyền may,2(2-0-0-4),2,2,0.6
3493,3493,TEX4331,Công nghệ dệt kim I,3(3-0-1-6),3,4.5,0.7
3494,3494,TEX4332,Thiết bị may công nghiệp,3(3-1-0-6),3,3,0.6
3495,3495,TEX4341,Kỹ thuật dệt thoi,3(3-0-1-6),3,4.5,0.7
3496,3496,TEX4342,Công nghệ gia công sản phẩm may,2(2-1-0-4),2,3,0.6
3497,3497,TEX4351,Công nghệ dệt kim II,3(3-0-1-6),3,4.5,0.7
3498,3498,TEX4352,Thực hành may cơ bản,3(0-0-6-6),3,9,0.5
3499,3499,TEX4362,Công nghệ sản xuất sản phẩm may,2(2-0-0-4),2,2,0.6
